locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b2022,,,Metabolism,Amino acid metabolism,Histidine metabolism
b2023,,,Metabolism,Amino acid metabolism,Histidine metabolism
b2024,,,Metabolism,Amino acid metabolism,Histidine metabolism
b2025,,,Metabolism,Amino acid metabolism,Histidine metabolism
b2026,,,Metabolism,Amino acid metabolism,Histidine metabolism
b2027,Lipopolysaccharide biosynthesis proteins,metabolism,,,
b2028,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars
b2029,,,Metabolism,Carbohydrate metabolism; Metabolism of other amino acids,Pentose phosphate pathway; Glutathione metabolism
b2032,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,O-Antigen repeat unit biosynthesis
b2033,Lipopolysaccharide biosynthesis proteins,metabolism,,,
b2034,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,O-Antigen repeat unit biosynthesis
b2035,Lipopolysaccharide biosynthesis proteins,metabolism,,,
b2036,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Galactose metabolism; Amino sugar and nucleotide sugar metabolism
b2037,Lipopolysaccharide biosynthesis proteins; Transporters,metabolism; signaling and cellular processes,,,
b2038,,,Metabolism,Glycan biosynthesis and metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of other secondary metabolites,Biosynthesis of various nucleotide sugars; Polyketide sugar unit biosynthesis; Streptomycin biosynthesis
b2039,,,Metabolism,Glycan biosynthesis and metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of other secondary metabolites,Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars; Polyketide sugar unit biosynthesis; Streptomycin biosynthesis; Acarbose and validamycin biosynthesis
b2040,,,Metabolism,Glycan biosynthesis and metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of other secondary metabolites,Biosynthesis of various nucleotide sugars; Polyketide sugar unit biosynthesis; Streptomycin biosynthesis
b2041,,,Metabolism,Glycan biosynthesis and metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of other secondary metabolites,Biosynthesis of various nucleotide sugars; Polyketide sugar unit biosynthesis; Biosynthesis of vancomycin group antibiotics; Streptomycin biosynthesis; Acarbose and validamycin biosynthesis
b2042,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Pentose and glucuronate interconversions; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars
b2044,Glycosyltransferases,metabolism,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2045,,,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2046,Transporters,signaling and cellular processes,,,
b2047,,,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2048,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism
b2049,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars
b2050,,,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2052,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Fructose and mannose metabolism; Biosynthesis of various nucleotide sugars
b2053,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism,Fructose and mannose metabolism; Biosynthesis of various nucleotide sugars
b2054,,,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2055,Glycosyltransferases,metabolism,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2057,Glycosyltransferases,metabolism,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2058,,,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2059,,,Metabolism,Glycan biosynthesis and metabolism,Exopolysaccharide biosynthesis
b2060,Protein kinases; Transporters,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2061,,,Environmental Information Processing,Signal transduction,Two-component system
b2062,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cellular community - prokaryotes,Two-component system; Biofilm formation - Escherichia coli
b2065,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b2066,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b2067,,,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b2068,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Base excision repair
b2069,Chaperones and folding catalysts,genetic information processing,,,
b2074,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2075,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2076,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2077,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2078,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2079,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2081,Peptidases and inhibitors,metabolism,,,
b2091,,,Metabolism,Carbohydrate metabolism,Galactose metabolism
b2093,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Membrane transport,Galactose metabolism; Phosphotransferase system (PTS)
b2094,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Membrane transport,Galactose metabolism; Phosphotransferase system (PTS)
b2095,,,Metabolism,Carbohydrate metabolism,Galactose metabolism
b2096,,,Metabolism,Carbohydrate metabolism,Galactose metabolism
b2097,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Carbon fixation by Calvin cycle; Methane metabolism
b2103,,,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism
b2104,,,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism; Riboflavin metabolism
b2105,Transcription factors,genetic information processing,,,
b2106,Transporters,signaling and cellular processes,,,
b2109,Transporters; Secretion system; Bacterial motility proteins,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2113,Chromosome and associated proteins; Mitochondrial biogenesis,genetic information processing,,,
b2114,Amino acid related enzymes; Transfer RNA biogenesis,metabolism; genetic information processing,Metabolism; Genetic Information Processing,Metabolism of other amino acids; Translation,Selenocompound metabolism; Aminoacyl-tRNA biosynthesis
b2125,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2126,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2127,Transcription factors,genetic information processing,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b2128,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2129,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2130,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2131,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2132,,,Metabolism,Carbohydrate metabolism; Metabolism of other amino acids; Biosynthesis of other secondary metabolites,Starch and sucrose metabolism; Cyanoamino acid metabolism; Degradation of flavonoids; Biosynthesis of various plant secondary metabolites
b2133,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
b2134,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b2140,Transfer RNA biogenesis,genetic information processing,,,
b2141,Transporters,signaling and cellular processes,,,
b2143,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b2146,,,Metabolism,Nucleotide metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins,Pyrimidine metabolism; beta-Alanine metabolism; Pantothenate and CoA biosynthesis
b2147,,,Metabolism,Nucleotide metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins,Pyrimidine metabolism; beta-Alanine metabolism; Pantothenate and CoA biosynthesis
b2148,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2149,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2150,Transporters,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Membrane transport; Cell motility,ABC transporters; Bacterial chemotaxis
b2151,Transcription factors,genetic information processing,,,
b2153,,,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis
b2154,,,Metabolism,Energy metabolism,Methane metabolism
b2155,Transporters,signaling and cellular processes,,,
b2156,Transporters,signaling and cellular processes,,,
b2159,DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,Base excision repair
b2161,Transporters,signaling and cellular processes,,,
b2162,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b2163,Transcription factors,genetic information processing,,,
b2164,Transporters,signaling and cellular processes,,,
b2165,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b2166,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b2167,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Membrane transport,Fructose and mannose metabolism; Phosphotransferase system (PTS)
b2168,,,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Membrane transport,Fructose and mannose metabolism; Phosphotransferase system (PTS)
b2169,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,Phosphotransferase system (PTS)
b2170,Transporters,signaling and cellular processes,,,
b2171,Translation factors,genetic information processing,,,
b2174,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b2175,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b2177,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2178,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2179,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2180,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2182,Transporters,signaling and cellular processes,,,
b2183,Ribosome biogenesis,genetic information processing,,,
b2184,DNA repair and recombination proteins,genetic information processing,,,
b2185,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b2186,Chromosome and associated proteins,genetic information processing,,,
b2189,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2193,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2195,Chaperones and folding catalysts,genetic information processing,,,
b2196,Transporters,signaling and cellular processes,,,
b2198,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2199,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2200,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2201,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2203,,,Metabolism,Energy metabolism,Nitrogen metabolism
b2206,,,Metabolism,Energy metabolism,Nitrogen metabolism
b2209,Peptidases and inhibitors,metabolism,,,
b2210,,,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle); Pyruvate metabolism
b2211,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2212,DNA repair and recombination proteins,genetic information processing,,,
b2213,Transcription factors; DNA repair and recombination proteins,genetic information processing,,,
b2215,Transporters,signaling and cellular processes,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; beta-Lactam resistance
b2216,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cellular community - prokaryotes,Two-component system; Biofilm formation - Escherichia coli
b2217,Two-component system,signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cellular community - prokaryotes,Two-component system; Biofilm formation - Escherichia coli
b2218,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing; Cellular Processes,Signal transduction; Cellular community - prokaryotes,Two-component system; Biofilm formation - Escherichia coli
b2219,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2220,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2221,,,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism; Signal transduction,Butanoate metabolism; Lysine degradation; Aminobenzoate degradation; Two-component system
b2222,,,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Amino acid metabolism; Xenobiotics biodegradation and metabolism; Signal transduction,Butanoate metabolism; Lysine degradation; Aminobenzoate degradation; Two-component system
b2223,,,Environmental Information Processing,Signal transduction,Two-component system
b2224,Exosome,signaling and cellular processes,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Energy metabolism; Lipid metabolism; Amino acid metabolism; Metabolism of terpenoids and polyketides; Xenobiotics biodegradation and metabolism; Signal transduction,"Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Other carbon fixation pathways; Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Tryptophan metabolism; Terpenoid backbone biosynthesis; Benzoate degradation; Two-component system"
b2231,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,,,
b2232,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b2233,Transporters; Secretion system,signaling and cellular processes,,,
b2234,DNA repair and recombination proteins,genetic information processing,Metabolism,Nucleotide metabolism,Purine metabolism; Pyrimidine metabolism
b2235,DNA repair and recombination proteins,genetic information processing,Metabolism,Nucleotide metabolism,Purine metabolism; Pyrimidine metabolism
b2239,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b2240,Transporters,signaling and cellular processes,,,
b2241,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b2242,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b2243,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b2244,DNA repair and recombination proteins,genetic information processing,,,
b2245,,,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
b2246,Transporters,signaling and cellular processes,,,
b2247,,,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
b2253,Amino acid related enzymes,metabolism,Metabolism; Environmental Information Processing; Human Diseases,Glycan biosynthesis and metabolism; Signal transduction; Drug resistance: antimicrobial,Biosynthesis of various nucleotide sugars; Two-component system; Cationic antimicrobial peptide (CAMP) resistance
b2254,,,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Biosynthesis of various nucleotide sugars; Cationic antimicrobial peptide (CAMP) resistance
b2255,,,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Biosynthesis of various nucleotide sugars; Cationic antimicrobial peptide (CAMP) resistance
b2256,,,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Biosynthesis of various nucleotide sugars; Cationic antimicrobial peptide (CAMP) resistance
b2257,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Lipopolysaccharide biosynthesis; Cationic antimicrobial peptide (CAMP) resistance
b2258,,,Human Diseases,Drug resistance: antimicrobial,Cationic antimicrobial peptide (CAMP) resistance
b2259,,,Human Diseases,Drug resistance: antimicrobial,Cationic antimicrobial peptide (CAMP) resistance
b2260,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b2261,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b2262,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b2263,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b2264,,,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
b2265,,,Metabolism,Metabolism of cofactors and vitamins; Metabolism of terpenoids and polyketides,Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of siderophore group nonribosomal peptides
b2268,Transfer RNA biogenesis,genetic information processing,,,
b2269,Peptidases and inhibitors,metabolism,,,
b2270,Transporters,signaling and cellular processes,,,
b2276,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2277,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2278,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2279,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2280,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2281,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2282,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2283,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2284,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2285,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2286,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2287,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2288,,,Metabolism,Energy metabolism,Oxidative phosphorylation
b2290,Amino acid related enzymes,metabolism,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism; Valine, leucine and isoleucine biosynthesis; Arginine biosynthesis"
b2291,,,Metabolism,Nucleotide metabolism,Purine metabolism; Pyrimidine metabolism
b2293,,,Metabolism,Carbohydrate metabolism,Fructose and mannose metabolism
b2296,,,Metabolism,Carbohydrate metabolism; Energy metabolism; Metabolism of other amino acids,Pyruvate metabolism; Propanoate metabolism; Other carbon fixation pathways; Methane metabolism; Taurine and hypotaurine metabolism
b2297,,,Metabolism,Carbohydrate metabolism; Energy metabolism; Metabolism of other amino acids,Pyruvate metabolism; Propanoate metabolism; Other carbon fixation pathways; Methane metabolism; Taurine and hypotaurine metabolism
b2301,Transporters,signaling and cellular processes,Metabolism,Metabolism of other amino acids,Glutathione metabolism
b2303,,,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis
b2305,DNA repair and recombination proteins,genetic information processing,,,
b2306,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2307,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2308,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2309,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2310,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b2311,,,Metabolism,Metabolism of cofactors and vitamins; Metabolism of terpenoids and polyketides; Xenobiotics biodegradation and metabolism,Riboflavin metabolism; Ubiquinone and other terpenoid-quinone biosynthesis; Terpenoid backbone biosynthesis; Aminobenzoate degradation
b2312,Peptidases and inhibitors,metabolism,Metabolism,Nucleotide metabolism; Amino acid metabolism,"Purine metabolism; Alanine, aspartate and glutamate metabolism"
b2315,,,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis
b2316,,,Metabolism,Carbohydrate metabolism; Energy metabolism; Lipid metabolism,Pyruvate metabolism; Propanoate metabolism; Other carbon fixation pathways; Fatty acid biosynthesis
b2318,Transfer RNA biogenesis,genetic information processing,,,
b2320,,,Metabolism,Metabolism of cofactors and vitamins,Vitamin B6 metabolism
b2323,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism; Metabolism of cofactors and vitamins,Fatty acid biosynthesis; Biotin metabolism
b2324,Transfer RNA biogenesis,genetic information processing,,,
b2326,Translation factors,genetic information processing,,,
b2328,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b2329,,,Metabolism,Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis"
b2330,Ribosome biogenesis,genetic information processing,,,
b2336,Secretion system,signaling and cellular processes,,,
b2341,,,Metabolism,Carbohydrate metabolism; Lipid metabolism; Amino acid metabolism; Metabolism of other amino acids; Metabolism of terpenoids and polyketides; Xenobiotics biodegradation and metabolism,"Propanoate metabolism; Butanoate metabolism; Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Tryptophan metabolism; beta-Alanine metabolism; Pinene, camphor and geraniol degradation; Benzoate degradation; Caprolactam degradation"
b2342,,,Metabolism,Lipid metabolism; Amino acid metabolism; Metabolism of terpenoids and polyketides; Xenobiotics biodegradation and metabolism,"Fatty acid degradation; alpha-Linolenic acid metabolism; Valine, leucine and isoleucine degradation; Pinene, camphor and geraniol degradation; Benzoate degradation; Ethylbenzene degradation; Steroid degradation"
b2344,Transporters,signaling and cellular processes,,,
b2348,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2351,Lipopolysaccharide biosynthesis proteins,metabolism,,,
b2361,,,Metabolism,Nucleotide metabolism,Purine metabolism; Pyrimidine metabolism
b2364,Transcription factors,genetic information processing,,,
b2365,Transporters,signaling and cellular processes,,,
b2366,,,Metabolism,Amino acid metabolism; Metabolism of other amino acids,"Glycine, serine and threonine metabolism; D-Amino acid metabolism"
b2367,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2368,,,Environmental Information Processing,Signal transduction,Two-component system
b2369,Two-component system; Antimicrobial resistance genes,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2370,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2372,Transporters,signaling and cellular processes,,,
b2373,,,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
b2374,,,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
b2378,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b2379,Amino acid related enzymes,metabolism,,,
b2380,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2381,Two-component system,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2383,Transporters,signaling and cellular processes,,,
b2385,Peptidases and inhibitors,metabolism,,,
b2386,Transporters,signaling and cellular processes,,,
b2387,Transporters,signaling and cellular processes,,,
b2388,,,Metabolism,Carbohydrate metabolism; Glycan biosynthesis and metabolism; Biosynthesis of other secondary metabolites,"Glycolysis / Gluconeogenesis; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Streptomycin biosynthesis; Neomycin, kanamycin and gentamicin biosynthesis"
b2389,Transporters,signaling and cellular processes,,,
b2392,Transporters,signaling and cellular processes,,,
b2393,Transporters,signaling and cellular processes,,,
b2396,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2397,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2400,Amino acid related enzymes; Transfer RNA biogenesis; Prokaryotic defense system,metabolism; genetic information processing; signaling and cellular processes,Metabolism; Genetic Information Processing,Metabolism of cofactors and vitamins; Translation,Porphyrin metabolism; Aminoacyl-tRNA biosynthesis
b2401,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2402,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2403,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2404,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b2406,Transporters,signaling and cellular processes,,,
b2407,,,Metabolism,Nucleotide metabolism; Metabolism of cofactors and vitamins,Purine metabolism; Nicotinate and nicotinamide metabolism
b2410,Transporters; Exosome,signaling and cellular processes,,,
b2411,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Base excision repair; Nucleotide excision repair; Mismatch repair
b2412,Chromosome and associated proteins,genetic information processing,,,
b2414,,,Metabolism,Energy metabolism; Amino acid metabolism,Sulfur metabolism; Cysteine and methionine metabolism
b2415,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,Phosphotransferase system (PTS)
b2416,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,Phosphotransferase system (PTS)
b2417,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing; Cellular Processes,Carbohydrate metabolism; Glycan biosynthesis and metabolism; Membrane transport; Cellular community - prokaryotes,Glycolysis / Gluconeogenesis; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Phosphotransferase system (PTS); Biofilm formation - Escherichia coli
b2418,,,Metabolism,Metabolism of cofactors and vitamins,Vitamin B6 metabolism
b2421,,,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism
b2422,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Membrane transport,Sulfur metabolism; ABC transporters
b2423,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Membrane transport,Sulfur metabolism; ABC transporters
b2424,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Membrane transport,Sulfur metabolism; ABC transporters
b2425,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Energy metabolism; Membrane transport,Sulfur metabolism; ABC transporters
b2427,Transcription factors,genetic information processing,,,
b2428,,,Metabolism,Glycan biosynthesis and metabolism,Amino sugar and nucleotide sugar metabolism
b2429,Transporters,signaling and cellular processes,Metabolism; Environmental Information Processing,Glycan biosynthesis and metabolism; Membrane transport,Amino sugar and nucleotide sugar metabolism; Phosphotransferase system (PTS)
b2430,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
b2435,Peptidoglycan biosynthesis and degradation proteins; Chromosome and associated proteins,metabolism; genetic information processing,Human Diseases,Drug resistance: antimicrobial,Cationic antimicrobial peptide (CAMP) resistance
b2436,,,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
b2437,Transcription factors,genetic information processing,,,
b2440,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b2441,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b2451,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b2453,,,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism
b2455,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
b2457,Transporters,signaling and cellular processes,,,
b2458,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
b2459,,,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
b2463,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Pyruvate metabolism; Carbon fixation by Calvin cycle
b2464,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Pentose phosphate pathway; Carbon fixation by Calvin cycle
b2465,,,Metabolism,Carbohydrate metabolism; Energy metabolism; Metabolism of terpenoids and polyketides,Pentose phosphate pathway; Carbon fixation by Calvin cycle; Biosynthesis of ansamycins
b2469,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2470,Transporters,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b2472,Peptidases and inhibitors,metabolism,Metabolism,Amino acid metabolism,Lysine biosynthesis
