locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b4100,,,Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
b4101,,,Metabolism,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
b4102,Transcription factors,genetic information processing,,,
b4105,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b4106,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b4111,Transporters,signaling and cellular processes,,,
b4112,Protein kinases; Two-component system,metabolism; signaling and cellular processes,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; Cationic antimicrobial peptide (CAMP) resistance
b4113,Two-component system,signaling and cellular processes,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; Cationic antimicrobial peptide (CAMP) resistance
b4114,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Lipopolysaccharide biosynthesis; Cationic antimicrobial peptide (CAMP) resistance
b4115,Transporters,signaling and cellular processes,,,
b4116,Transcription factors,genetic information processing,,,
b4117,,,Metabolism,Amino acid metabolism,Arginine and proline metabolism
b4118,Transcription factors,genetic information processing,,,
b4119,,,Metabolism,Carbohydrate metabolism; Lipid metabolism,Galactose metabolism; Glycerolipid metabolism; Sphingolipid metabolism
b4120,Transporters,signaling and cellular processes,,,
b4122,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Citrate cycle (TCA cycle); Pyruvate metabolism; Other carbon fixation pathways
